id,spoilerType
0,passage
1,passage
2,passage
3,passage
4,multi
5,phrase
6,multi
7,passage
8,phrase
9,passage
10,multi
11,passage
12,phrase
13,passage
14,multi
15,passage
16,passage
17,passage
18,multi
19,phrase
20,phrase
21,passage
22,passage
23,phrase
24,passage
25,passage
26,passage
27,passage
28,multi
29,passage
30,phrase
31,passage
32,passage
33,passage
34,passage
35,passage
36,passage
37,phrase
38,passage
39,phrase
40,phrase
41,passage
42,phrase
43,passage
44,passage
45,passage
46,passage
47,multi
48,passage
49,passage
50,passage
51,passage
52,passage
53,multi
54,passage
55,passage
56,phrase
57,multi
58,passage
59,phrase
60,passage
61,multi
62,passage
63,phrase
64,passage
65,passage
66,passage
67,phrase
68,passage
69,phrase
70,multi
71,phrase
72,multi
73,multi
74,passage
75,passage
76,passage
77,multi
78,phrase
79,phrase
80,passage
81,passage
82,passage
83,passage
84,passage
85,passage
86,phrase
87,phrase
88,passage
89,phrase
90,phrase
91,multi
92,phrase
93,passage
94,passage
95,phrase
96,passage
97,passage
98,passage
99,passage
100,multi
101,multi
102,passage
103,passage
104,passage
105,passage
106,phrase
107,passage
108,passage
109,passage
110,passage
111,multi
112,passage
113,phrase
114,phrase
115,multi
116,phrase
117,phrase
118,passage
119,phrase
120,passage
121,phrase
122,phrase
123,passage
124,passage
125,phrase
126,passage
127,passage
128,passage
129,passage
130,passage
131,passage
132,passage
133,passage
134,passage
135,passage
136,passage
137,passage
138,multi
139,passage
140,passage
141,phrase
142,passage
143,passage
144,passage
145,passage
146,passage
147,passage
148,passage
149,phrase
150,passage
151,phrase
152,phrase
153,phrase
154,passage
155,passage
156,multi
157,phrase
158,passage
159,phrase
160,phrase
161,passage
162,passage
163,passage
164,phrase
165,passage
166,passage
167,phrase
168,passage
169,passage
170,phrase
171,multi
172,phrase
173,passage
174,phrase
175,phrase
176,passage
177,passage
178,phrase
179,passage
180,passage
181,phrase
182,passage
183,phrase
184,phrase
185,passage
186,multi
187,passage
188,multi
189,passage
190,passage
191,passage
192,phrase
193,passage
194,passage
195,passage
196,phrase
197,passage
198,passage
199,phrase
200,passage
201,multi
202,phrase
203,passage
204,passage
205,passage
206,multi
207,multi
208,phrase
209,phrase
210,passage
211,phrase
212,passage
213,passage
214,passage
215,passage
216,passage
217,phrase
218,passage
219,phrase
220,passage
221,passage
222,passage
223,passage
224,passage
225,phrase
226,phrase
227,passage
228,phrase
229,passage
230,multi
231,passage
232,phrase
233,multi
234,passage
235,multi
236,passage
237,multi
238,passage
239,phrase
240,passage
241,passage
242,multi
243,passage
244,passage
245,phrase
246,passage
247,passage
248,passage
249,passage
250,passage
251,passage
252,phrase
253,passage
254,passage
255,passage
256,passage
257,passage
258,passage
259,passage
260,passage
261,passage
262,phrase
263,passage
264,passage
265,phrase
266,phrase
267,passage
268,passage
269,passage
270,passage
271,passage
272,passage
273,phrase
274,passage
275,passage
276,passage
277,passage
278,multi
279,phrase
280,phrase
281,passage
282,multi
283,multi
284,phrase
285,passage
286,passage
287,passage
288,phrase
289,passage
290,multi
291,phrase
292,multi
293,multi
294,multi
295,passage
296,phrase
297,passage
298,passage
299,multi
300,phrase
301,passage
302,multi
303,multi
304,passage
305,passage
306,phrase
307,multi
308,phrase
309,phrase
310,phrase
311,passage
312,phrase
313,passage
314,phrase
315,phrase
316,passage
317,passage
318,phrase
319,passage
320,passage
321,phrase
322,phrase
323,passage
324,passage
325,multi
326,multi
327,phrase
328,multi
329,phrase
330,phrase
331,multi
332,passage
333,passage
334,multi
335,passage
336,passage
337,phrase
338,phrase
339,passage
340,multi
341,passage
342,passage
343,passage
344,passage
345,phrase
346,passage
347,multi
348,phrase
349,passage
350,passage
351,passage
352,passage
353,multi
354,passage
355,passage
356,phrase
357,passage
358,passage
359,passage
360,phrase
361,passage
362,passage
363,passage
364,phrase
365,multi
366,passage
367,passage
368,passage
369,passage
370,passage
371,passage
372,passage
373,phrase
374,passage
375,phrase
376,phrase
377,passage
378,phrase
379,multi
380,passage
381,passage
382,phrase
383,passage
384,passage
385,multi
386,phrase
387,passage
388,multi
389,multi
390,multi
391,multi
392,passage
393,passage
394,passage
395,passage
396,passage
397,phrase
398,passage
399,phrase
