id,spoilerType
0,passage
1,multi
2,passage
3,passage
4,multi
5,passage
6,passage
7,passage
8,passage
9,multi
10,passage
11,multi
12,passage
13,passage
14,passage
15,passage
16,passage
17,multi
18,passage
19,passage
20,passage
21,passage
22,multi
23,passage
24,phrase
25,passage
26,passage
27,passage
28,passage
29,passage
30,passage
31,passage
32,passage
33,multi
34,passage
35,multi
36,multi
37,multi
38,passage
39,passage
40,passage
41,passage
42,passage
43,passage
44,passage
45,passage
46,passage
47,multi
48,passage
49,multi
50,multi
51,multi
52,multi
53,passage
54,multi
55,passage
56,passage
57,passage
58,passage
59,passage
60,multi
61,multi
62,passage
63,passage
64,passage
65,passage
66,multi
67,passage
68,passage
69,passage
70,passage
71,passage
72,passage
73,passage
74,passage
75,passage
76,passage
77,passage
78,passage
79,passage
80,phrase
81,passage
82,passage
83,multi
84,passage
85,multi
86,passage
87,passage
88,passage
89,passage
90,passage
91,passage
92,multi
93,phrase
94,passage
95,passage
96,multi
97,passage
98,passage
99,passage
100,passage
101,passage
102,passage
103,passage
104,passage
105,passage
106,passage
107,multi
108,multi
109,passage
110,passage
111,passage
112,passage
113,multi
114,phrase
115,multi
116,passage
117,multi
118,passage
119,passage
120,passage
121,passage
122,passage
123,passage
124,passage
125,passage
126,phrase
127,multi
128,passage
129,multi
130,multi
131,multi
132,multi
133,multi
134,passage
135,multi
136,passage
137,passage
138,passage
139,passage
140,passage
141,passage
142,passage
143,phrase
144,passage
145,passage
146,multi
147,passage
148,passage
149,passage
150,multi
151,passage
152,passage
153,passage
154,passage
155,multi
156,passage
157,passage
158,passage
159,passage
160,multi
161,passage
162,multi
163,passage
164,passage
165,passage
166,passage
167,multi
168,passage
169,multi
170,passage
171,passage
172,multi
173,passage
174,passage
175,passage
176,multi
177,passage
178,passage
179,passage
180,passage
181,passage
182,multi
183,passage
184,passage
185,multi
186,passage
187,passage
188,passage
189,passage
190,passage
191,passage
192,passage
193,passage
194,passage
195,passage
196,multi
197,multi
198,multi
199,phrase
200,passage
201,passage
202,passage
203,passage
204,multi
205,passage
206,passage
207,passage
208,passage
209,passage
210,passage
211,passage
212,multi
213,passage
214,passage
215,passage
216,passage
217,multi
218,passage
219,passage
220,passage
221,passage
222,passage
223,passage
224,passage
225,passage
226,passage
227,multi
228,passage
229,passage
230,multi
231,phrase
232,passage
233,passage
234,passage
235,passage
236,passage
237,multi
238,passage
239,passage
240,passage
241,passage
242,multi
243,phrase
244,multi
245,passage
246,multi
247,passage
248,passage
249,multi
250,passage
251,passage
252,passage
253,multi
254,passage
255,passage
256,multi
257,multi
258,passage
259,passage
260,passage
261,multi
262,passage
263,passage
264,multi
265,passage
266,passage
267,passage
268,multi
269,passage
270,passage
271,passage
272,multi
273,multi
274,passage
275,multi
276,passage
277,multi
278,multi
279,passage
280,passage
281,passage
282,multi
283,passage
284,passage
285,passage
286,passage
287,multi
288,passage
289,phrase
290,passage
291,passage
292,passage
293,multi
294,passage
295,multi
296,multi
297,multi
298,multi
299,passage
300,passage
301,multi
302,passage
303,passage
304,multi
305,phrase
306,passage
307,passage
308,passage
309,passage
310,passage
311,passage
312,passage
313,multi
314,passage
315,passage
316,multi
317,phrase
318,passage
319,passage
320,multi
321,passage
322,passage
323,passage
324,passage
325,multi
326,passage
327,passage
328,passage
329,passage
330,passage
331,passage
332,passage
333,passage
334,passage
335,passage
336,multi
337,passage
338,passage
339,passage
340,passage
341,passage
342,phrase
343,multi
344,passage
345,passage
346,multi
347,passage
348,passage
349,passage
350,passage
351,passage
352,passage
353,passage
354,passage
355,passage
356,passage
357,multi
358,passage
359,passage
360,passage
361,passage
362,passage
363,multi
364,passage
365,passage
366,multi
367,passage
368,passage
369,passage
370,multi
371,passage
372,passage
373,phrase
374,multi
375,passage
376,passage
377,passage
378,multi
379,passage
380,multi
381,passage
382,passage
383,passage
384,passage
385,passage
386,passage
387,passage
388,passage
389,passage
390,passage
391,passage
392,passage
393,passage
394,multi
395,passage
396,passage
397,multi
398,passage
399,passage
